單位,電話,地址,FLOOR_X,FLOOR_Y
小港派出所,07-8215913,高雄市小港區小港里平和南路119號,181743.000000,2496036.000000
漢民路派出所,07-8064590,高雄市小港區宏亮里宏平路367號,184128.000000,2496768.000000
高松派出所,07-8010795,高雄市小港區松山里高松路25號,185434.000000,2497084.000000
桂陽路派出所,07-7912688,高雄市小港區桂林里桂陽路338號,183296.000000,2498161.000000
小港分局,07-8019207,高雄市小港區港墘里小港路20號,182636.000000,2496350.000000
大林派出所,07-8712237,高雄市小港區鳳森里鳳林路116號,182721.000000,2492052.000000
澄觀派出所,07-3718188,高雄市仁武區五和里八德西路189號,181212.000000,2508763.000000
仁武派出所,07-3711432,高雄市仁武區仁武里中正路135號,183121.000000,2511420.000000
仁武分局,07-3719421,高雄市仁武區仁武里中正路135號,183121.000000,2511420.000000
中埔派出所,07-6673308,高雄市內門區中埔里中埔36號,193675.000000,2535511.000000
內門分駐所,07-6671309,高雄市內門區內門里內門114號,194869.000000,2537910.000000
三和派出所,07-6681110,高雄市內門區木柵里木柵60號,195573.000000,2541660.000000
溝坪派出所,07-6601670,高雄市內門區永興里頂庄9號,198728.000000,2542375.000000
六龜分局,07-6891119,高雄市六龜區大龜里民生路1號,212434.000000,2544150.000000
荖濃派出所,07-6881014,高雄市六龜區荖濃里裕濃路18號,216445.000000,2552203.000000
義寶派出所,07-6891049,高雄市六龜區鄉民生路1號,212434.000000,2544150.000000
新威派出所,07-6871176,高雄市六龜區新威里新威路127號,211911.000000,2533556.000000
寶來派出所,07-6881170,高雄市六龜區寶來里中正路21號,219138.000000,2556222.000000
四海派出所,07-5811544,高雄市左營區明建里明德新村35號,176767.000000,2510593.000000
啟文派出所,07-5882999,高雄市左營區果貿里中華一路2-12號,176643.000000,2508084.000000
舊城派出所,07-5853036,高雄市左營區埤西里左營大路101號,176879.000000,2509341.000000
文自派出所,07-3501311,高雄市左營區菜公里文自路21號,178595.000000,2508161.000000
左營派出所,07-5813019,高雄市左營區進學里進學路1號,177609.000000,2510192.000000
左營分局,07-5820032,高雄市左營區進學里進學路1號,177616.000000,2510195.000000
新莊派出所,07-5562630,高雄市左營區新上里新莊仔路772號,178651.000000,2507692.000000
博愛四路派出所,07-3487976,高雄市左營區福山里博愛四路437號,179807.000000,2509872.000000
永安分駐所,07-6912044,高雄市永安區永安路22號,170501.000000,2524435.000000
蛙潭派出所,07-6361192,高雄市田寮區七星路11號,189094.000000,2525650.000000
古亭派出所,07-6367058,高雄市田寮區古亭路39號,188379.000000,2532723.000000
田寮分駐所,07-6361878,高雄市田寮區南安里崗安路99號,184081.000000,2530448.000000
崇德派出所,07-6366774,高雄市田寮區崇德路49號,186425.000000,2530856.000000
大隆派出所,07-6751044,高雄市甲仙區大田里中園路43號,205642.000000,2551011.000000
小林派出所,07-6761138,高雄市甲仙區小林里忠義路114號,213523.000000,2562335.000000
甲仙分駐所,07-6751204,高雄市甲仙區東安里和安街42號,207950.000000,2553551.000000
里關派出所,07-6752006,高雄市甲仙區關山里中興路四四巷10號,209571.000000,2556752.000000
杉林分駐所,07-6771154,高雄市杉林區上平里山仙路87號,202990.000000,2541555.000000
茄興派出所,07-6779274,高雄市杉林區木梓里茄苳巷144號,203298.000000,2546726.000000
合森派出所,07-6771144,高雄市杉林區合森巷63號,203842.000000,2544186.000000
集來派出所,07-6779064,高雄市杉林區通仙巷331號,205115.000000,2546823.000000
民權派出所,07-6701168,高雄市那瑪夏區民族里平和巷11號,182932.000000,2514491.000000
民治派出所,07-6701168,高雄市那瑪夏區民族里錫安山巷1號,215881.000000,2567631.000000
民生派出所,07-6701118,高雄市那瑪夏區達卡努瓦里秀嶺巷87號,221438.000000,2574323.000000
三民分駐所,07-6701168,高雄市那瑪夏區瑪雅里平和巷86號,218699.000000,2568457.000000
前峰派出所,07-6265134,高雄市岡山區中華路53號,176883.000000,2521613.000000
壽天派出所,07-6216400,高雄市岡山區公園西路14號,177037.000000,2522217.000000
岡山分局,07-6212025,高雄市岡山區岡山里壽天路10號,177638.000000,2521931.000000
嘉興派出所,07-6216401,高雄市岡山區嘉興路251號,178492.000000,2524714.000000
中芸派出所,07-6412792,高雄市林園區北汕里力行路250號,188306.000000,2487475.000000
林園分局,07-6412004,高雄市林園區林園里林園北路201號,187676.000000,2490049.000000
林園派出所,07-6412013,高雄市林園區林園里林園北路201號,187676.000000,2490049.000000
港埔派出所,07-6413695,高雄市林園區頂厝里沿海路四段326號,185900.000000,2489563.000000
阿蓮分駐所,07-6312029,高雄市阿蓮區忠孝路226號,181145.000000,2531046.000000
新興分局,07-2212057,高雄市前金區東坡里中山一路100號,178273.000000,2503555.000000
前金分駐所,07-2212901,高雄市前金區東金里中正四路174號,177481.000000,2503397.000000
高雄市政府警察局,07-2155555,高雄市前金區後金里中正四路260號,177075.000000,2503259.000000
草衙派出所,07-8213705,高雄市前鎮區平等里鎮中路150號,179990.000000,2498633.000000
一心路派出所,07-7264661,高雄市前鎮區竹西里一心一路286號,179927.000000,2501072.000000
復興路派出所,07-3342434,高雄市前鎮區西甲里復興三路96號,179081.000000,2501270.000000
瑞隆派出所,07-8221183,高雄市前鎮區瑞祥里班超路49號,180683.000000,2500123.000000
前鎮街派出所,07-8310309,高雄市前鎮區鎮陽里前鎮街260號,178871.000000,2499210.000000
吉東派出所,07-6831744,高雄市美濃區中正路三段416號,202174.000000,2528266.000000
中壇派出所,07-6812798,高雄市美濃區中興路一段636號,202183.000000,2531749.000000
廣興派出所,07-6812794,高雄市美濃區民族路100號,205334.000000,2534803.000000
美濃分駐所,07-6812029,高雄市美濃區永安路212號,203058.000000,2533266.000000
龍肚派出所,07-6851797,高雄市美濃區鎮龍肚街63號,206101.000000,2531030.000000
苓雅分局,07-3353760,高雄市苓雅區仁政里苓雅一路367號,178404.000000,2502184.000000
福德二路派出所,07-7233343,高雄市苓雅區正文里福德二路77號,180913.000000,2503696.000000
成功路派出所,07-3334793,高雄市苓雅區城北里成功一路136號,177789.000000,2501802.000000
凱旋路派出所,07-2236222,高雄市苓雅區凱旋里凱旋二路145號,180267.000000,2503405.000000
民權路派出所,07-3333631,高雄市苓雅區普天里四維二路369號,179445.000000,2502373.000000
三多路派出所,07-7615655,高雄市苓雅區福祥里三多一路168號,181140.000000,2502638.000000
多納派出所,07-6801208,高雄市茂林區多納村1號,220973.000000,2534500.000000
茂林分駐所,07-6801200,高雄市茂林區茂林里茂林巷13號,215542.000000,2531774.000000
森山派出所,07-6892534,高雄市茂林區茂林里扇平巷1號,217748.000000,2540780.000000
萬山派出所,07-6801203,高雄市茂林區萬山里1號,217095.000000,2534340.000000
砂崙派出所,07-6900055,高雄市茄定區白砂路二三九巷二弄9號,166282.000000,2534930.000000
茄萣分駐所,07-6986923,高雄市茄萣區崎漏里民治路256號,167011.000000,2530561.000000
建山派出所,07-6881442,高雄市桃源區建山村36號,221014.000000,2555620.000000
桃源分駐所,07-6861176,高雄市桃源區桃源里南進巷183號,225811.000000,2561855.000000
高中派出所,07-6881385,高雄市桃源區高中里興中巷90號,221208.000000,2558750.000000
梅山派出所,07-6866170,高雄市桃源區梅山村52號,232231.000000,2573640.000000
拉芙蘭派出所,07-6866087,高雄市桃源區梅蘭里113號,230870.000000,2570682.000000
梅蘭派出所,07-6866087,高雄市桃源區梅蘭里113號,230870.000000,2570682.000000
復興派出所,07-6866087,高雄市桃源區復興里復興巷1號,230859.000000,2570710.000000
寶山派出所,07-6892464,高雄市桃源區寶山村16號,221574.000000,2550320.000000
森濤派出所,07-6892474,高雄市桃源區寶山里藤枝78號,224767.000000,2551870.000000
赤崁派出所,07-6101404,高雄市梓官區赤崁西路12號,172684.000000,2515457.000000
梓官分駐所,07-6171403,高雄市梓官區梓官路267號,174706.000000,2517958.000000
仁美派出所,07-7314057,高雄市鳥松區仁美里仁德路16號,187734.000000,2505679.000000
鳥松分駐所,07-7326240,高雄市鳥松區鳥松里中正路96-1號,184677.000000,2506736.000000
大華派出所,07-3701994,高雄市鳥松區澄清路821號,182962.000000,2505686.000000
湖街派出所,07-6934784,高雄市湖內區大湖里中山路一段290-1號,172480.000000,2531974.000000
湖內分局,07-6932155,高雄市湖內區大湖里中山路一段290號,172508.000000,2531961.000000
湖內派出所,07-6993229,高雄市湖內區中賢里中正路二段95號,169052.000000,2534337.000000
五福二路派出所,07-2316481,高雄市新興區玉衡里五福二路222號,178343.000000,2502813.000000
中正三路派出所,07-2270189,高雄市新興區光耀里中正三路3號,179204.000000,2503525.000000
中山路派出所,07-2211209,高雄市新興區東坡里中山一路100號,178266.000000,2503551.000000
自強路派出所,07-2910188,高雄市新興區社東里自強二路63號,177598.000000,2502808.000000
楠梓分局,07-3653190,高雄市楠梓區加昌里外環西路119號,178081.000000,2513220.000000
加昌派出所,07-3655961,高雄市楠梓區加昌里外環西路119號,178081.000000,2513220.000000
後勁派出所,07-3612554,高雄市楠梓區宏毅里後昌路214號,179038.000000,2512944.000000
楠梓派出所,07-3511145,高雄市楠梓區東寧里旗楠路25號,181055.000000,2514702.000000
右昌派出所,07-3612977,高雄市楠梓區建昌里右昌街250號,177006.000000,2512604.000000
翠屏駐在所,07-3649783,高雄市楠梓區翠屏里德祥路147號,179067.000000,2514171.000000
竹滬派出所,07-6981824,高雄市路竹區竹滬里華山路31號,170896.000000,2529172.000000
一甲派出所,07-6962954,高雄市路竹區社西里金平路356號,174858.000000,2530043.000000
路竹分駐所,07-6962615,高雄市路竹區國昌路八六巷24號,174112.000000,2528351.000000
內惟派出所,07-5826970,高雄市鼓山區內惟里九如四路1139號,175920.000000,2506760.000000
鼓山分局,07-5514005,高雄市鼓山區登山里鼓山一路105號,175797.000000,2503125.000000
鼓山派出所,07-5512673,高雄市鼓山區興宗里鼓山二路81號,176229.000000,2504007.000000
龍華派出所,07-5551802,高雄市鼓山區龍子里中華一路301號,177314.000000,2506863.000000
新濱派出所,07-5514863,高雄市鼓山區麗興里臨海三路2號,175500.000000,2502636.000000
廣福派出所,07-6613260,高雄市旗山里旗屏二路18號,199149.000000,2528580.000000
旗尾派出所,07-6614306,高雄市旗山區延平二路21號,197974.000000,2531305.000000
旗山分局,07-6612001,高雄市旗山區鼓山里華中街1號,196956.000000,2531970.000000
圓潭派出所,07-6691307,高雄市旗山區旗甲路三段165號,199048.000000,2536918.000000
大洲派出所,07-6661305,高雄市旗山區旗南二路39號,195205.000000,2527514.000000
嶺口派出所,07-6651021,高雄市旗山區旗南三路212號,193485.000000,2519323.000000
建國派出所,07-6612045,高雄市旗山區鎮湄洲里華中街1號,196958.000000,2531970.000000
中洲派出所,07-5712328,高雄市旗津區中洲里中洲二路66號,177768.000000,2497364.000000
旗津分駐所,07-5715492,高雄市旗津區旗下里廟前路137號,174851.000000,2501725.000000
成功派出所,07-7462453,高雄市鳳山區中山東路16號,184706.000000,2502364.000000
文山派出所,07-7324341,高雄市鳳山區文山里鳳松路127號,184588.000000,2504695.000000
忠孝派出所,07-7402658,高雄市鳳山區光復路二段188號,182348.000000,2503429.000000
新甲派出所,07-7636944,高雄市鳳山區國光里新富路383號,182995.000000,2501896.000000
埤頂派出所,07-7013272,高雄市鳳山區埤頂里中山東路497號,186330.000000,2503300.000000
鳳崗派出所,07-7412244,高雄市鳳山區曹公路23號,183919.000000,2503128.000000
五甲派出所,07-7615839,高雄市鳳山區富甲里五甲二路478號,181497.000000,2499754.000000
鳳山分局,07-7456110,高雄市鳳山區新興里經武路36號,184505.000000,2503187.000000
過埤派出所,07-7923028,高雄市鳳山區過埤里保生路69號,184191.000000,2499306.000000
甲圍派出所,07-6110384,高雄市橋頭區甲樹路1170號,177778.000000,2515801.000000
橋頭分駐所,07-6113555,高雄市橋頭區成功路156號,179194.000000,2517633.000000
燕巢分駐所,07-6161402,高雄市燕巢區中民路585號,184509.000000,2521507.000000
深水派出所,07-6152054,高雄市燕巢區深興路88號,187361.000000,2519218.000000
鳳雄派出所,07-6153054,高雄市燕巢區鳳旗路171號,183835.000000,2517169.000000
彌陀分駐所,07-6176405,高雄市彌陀區中華路16號,172969.000000,2520261.000000
舊港派出所,07-6196994,高雄市彌陀區舊港橫路1號,171073.000000,2522268.000000
七賢路派出所,07-5513534,高雄市鹽埕區中原里七賢三路170號,176289.000000,2503188.000000
五福四路派出所,07-5512968,高雄市鹽埕區河濱里五福四路107號,176516.000000,2502658.000000
建國四路派出所,07-5512832,高雄市鹽埕區陸橋里建國四路257號,176164.000000,2503335.000000
鹽埕分局,07-5513424,高雄市鹽埕區慈愛里建國四路337號,176304.000000,2503616.000000
中庄派出所,07-7016714,高雄高大寮區中庄里仁愛路101號,187854.000000,2503890.000000
瑪陵派出所,02-24565085,基隆市七堵區大華二路194號,319277.000000,2778260.000000
百福派出所,02-24512156,基隆市七堵區百福里百六街120號,320419.000000,2775434.000000
第三分局,02-24558843,基隆市七堵區富民里明德一路142號,322148.000000,2776866.000000
七堵派出所,02-24566947,基隆市七堵區富民里明德一路142號,322148.000000,2776866.000000
復興派出所,02-24515602,基隆市七堵區華新一路40之3號,317399.000000,2776001.000000
中山派出所,02-24242440,基隆市中山區西定路1號,324141.000000,2780582.000000
第四分局,02-24225477,基隆市中山區西定路1號,324141.000000,2780582.000000
中華路派出所,02-24246944,基隆市中山區通明街2號,324474.000000,2782298.000000
安瀾橋派出所,02-24622435,基隆市中正區中正路320號,326720.000000,2781774.000000
正濱派出所,02-24621889,基隆市中正區中正路511號,327435.000000,2782921.000000
和一路派出所,02-24622752,基隆市中正區和一路146號,327125.000000,2783170.000000
信六路派出所,02-24246948,基隆市中正區義一路148號,325356.000000,2780968.000000
第二分局,02-24222742,基隆市中正區義二路128號,325323.000000,2780700.000000
八斗子派出所,02-24692077,基隆市中正區環港街12號,329793.000000,2781785.000000
延平街派出所,02-24246950,基隆市仁愛區仁二路76號,325499.000000,2780141.000000
第一分局,02-24222741,基隆市仁愛區仁五路22號,324680.000000,2780131.000000
忠二路派出所,02-24241363,基隆市仁愛區忠二路2之1號,324719.000000,2780349.000000
南榮路派出所,02-24242437,基隆市仁愛區南榮路225號,324942.000000,2779579.000000
安定派出所,02-24246946,基隆市安樂區安一路307號,323353.000000,2780665.000000
大武崙派出所,02-24310118,基隆市安樂區基金一路351號,321058.000000,2781653.000000
安樂分駐所,02-24316212,基隆市安樂區麥金路125號,322834.000000,2779269.000000
信義分駐所,02-24656945,基隆市信義區東明路61號,326906.000000,2780114.000000
基隆市警察局,02-24248141,基隆市信義區信二路205號,325598.000000,2780348.000000
東光派出所,02-24656443,基隆市信義區崇法街3號,327107.000000,2780324.000000
深澳坑派出所,02-24654170,基隆市信義區深澳坑路69號,329181.000000,2780106.000000
八堵分駐所,02-24562438,基隆市暖暖區八堵路69號,323829.000000,2778054.000000
暖暖派出所,02-24572331,基隆市暖暖區暖暖街119號,324411.000000,2777180.000000
碇內派出所,02-24576080,基隆市暖暖區源遠路249巷36號,326163.000000,2777041.000000
北竿警察所,083-655234,連江縣北竿鄉塘岐村259號,150341.000000,2901664.000000
東引警察所,083-677204,連江縣東引鄉樂華村70號,199876.000000,2917087.000000
南竿警察所,083-622471,連江縣南竿鄉介壽村260號,145775.000000,2894454.000000
福建省連江縣警察局,083-625859,連江縣南竿鄉介壽村260號,145775.000000,2894454.000000
西區派出所,083-625368,連江縣南竿鄉馬祖村7號,142502.000000,2894615.000000
東莒派出所,083-689046,連江縣莒光鄉大坪村84-1號,147737.000000,2872489.000000
莒光警察所,083-688153,連江縣莒光鄉青帆村96號,143709.000000,2873797.000000
永定派出所,05-5982604,雲林縣二崙鄉永定村永定路三七二號,191759.000000,2632625.000000
油車派出所,05-5982334,雲林縣二崙鄉油車村一鄰文化路八號,187857.000000,2632479.000000
二崙分駐所,05-5982595,雲林縣二崙鄉崙西村一鄰中山路一０二號,190174.000000,2629761.000000
口湖分駐所,05-7892014,雲林縣口湖鄉口湖村三鄰口湖路一０四號,166535.000000,2609281.000000
下崙派出所,05-7991084,雲林縣口湖鄉崙中村一０鄰中山路五九號,164728.000000,2612693.000000
崙梧派出所,05-7907180,雲林縣口湖鄉梧南村四鄰光明路一二四號,167594.000000,2605152.000000
金湖派出所,05-7971081,雲林縣口湖鄉港西村四鄰三民路一號,162979.000000,2608233.000000
馬光派出所,05-6652364,雲林縣土庫鎮南平里八鄰馬光路六四號,184848.000000,2622315.000000
土庫分駐所,05-6622514,雲林縣土庫鎮宮北里二鄰中山路二四五號,187681.000000,2618953.000000
大埤分駐所,05-5912040,雲林縣大埤鄉北和村一０鄰中山路一０二號,191712.000000,2615910.000000
怡美派出所,05-5912060,雲林縣大埤鄉怡然村六鄰怡美路五六號,189364.000000,2615081.000000
鹿寮派出所,05-7983725,雲林縣元長鄉瓦?五鄰中央路一九號,184803.000000,2615175.000000
元長分駐所,05-7882009,雲林縣元長鄉長北村中山路一二四之二號,179916.000000,2616908.000000
客厝派出所,05-7882764,雲林縣元長鄉客厝村七鄰客庴六三號,182376.000000,2614140.000000
雲林縣警察局,05-5338502,雲林縣斗六市大學路三段一００號,202587.000000,2621635.000000
斗六分局,05-5322598,雲林縣斗六市中山路八八號,203329.000000,2623033.000000
斗六派出所,05-5322130,雲林縣斗六市忠孝里二鄰文化路三六號,203479.000000,2623103.000000
公正派出所,05-5323180,雲林縣斗六市林頭里二十一鄰大學路一段六三七號,204762.000000,2623141.000000
長平派出所,05-5327649,雲林縣斗六市長平里七鄰長平路一七號,199527.000000,2622253.000000
長安派出所,05-5517650,雲林縣斗六市長安里二鄰長安西路二號,202472.000000,2625650.000000
梅林派出所,05-5572493,雲林縣斗六市梅林里梅林路三九二號,209296.000000,2622170.000000
溝埧派出所,05-5220334,雲林縣斗六市溝埧里一鄰仁義路八九之一六號,202800.000000,2619030.000000
榴中派出所,05-5573651,雲林縣斗六市榴中里一七鄰石榴路八一號,206917.000000,2624114.000000
四維派出所,05-5973554,雲林縣斗南鎮石溪里一鄰中和路七七號,197207.000000,2615270.000000
斗南分局,05-5972005,雲林縣斗南鎮西跂里文昌路五００號,196150.000000,2619630.000000
建國派出所,05-5973724,雲林縣斗南鎮阿丹里六鄰阿丹一號,199565.000000,2616275.000000
斗南派出所,05-5972047,雲林縣斗南鎮南昌里二一鄰中山路一一號,197054.000000,2618906.000000
新崙派出所,05-5973524,雲林縣斗南鎮埤麻里六鄰新庴六七號,193678.000000,2619500.000000
新光派出所,05-5972540,雲林縣斗南鎮新光里二一鄰延平路一段二二二號,197058.000000,2621420.000000
土厝派出所,05-7852884,雲林縣水林鄉土厝村一七鄰大庄四六號,174934.000000,2607364.000000
水林分駐所,05-7853541,雲林縣水林鄉水北村一二鄰水林路六０號,173227.000000,2607833.000000
蔦松派出所,05-7841891,雲林縣水林鄉松中村十四鄰蔦松路二０號,171500.000000,2601914.000000
宏仁派出所,05-7851885,雲林縣水林鄉灣西村二鄰宏仁路七七號,172537.000000,2611233.000000
好收派出所,05-7922194,雲林縣北港鎮好收里二鄰好收路二三號,176377.000000,2610832.000000
北港派出所,05-7832064,雲林縣北港鎮西勢里二鄰義民路五一號,178748.000000,2607065.000000
北辰派出所,05-7834082,雲林縣北港鎮新街里八鄰華勝路三九九號,178558.000000,2607880.000000
北港分局,05-7832015,雲林縣北港鎮新街里文仁路一二號,179100.000000,2608686.000000
古坑分駐所,05-5821324,雲林縣古坑鄉中山路三九三之一號,205101.000000,2616811.000000
永光派出所,05-5821354,雲林縣古坑鄉永光村五鄰光昌路五八號,204645.000000,2613397.000000
東和派出所,05-5260642,雲林縣古坑鄉東和村文化路一三七號,206326.000000,2619756.000000
草嶺派出所,05-5831009,雲林縣古坑鄉草嶺村七鄰草嶺三八號,220362.000000,2608703.000000
華山派出所,05-5901317,雲林縣古坑鄉華山村一鄰華山路五０號,208658.000000,2610238.000000
樟湖派出所,05-5811151,雲林縣古坑鄉樟湖村二鄰樟湖一四號,213179.000000,2613172.000000
臺西分局,05-6982041,雲林縣台西鄉中山路一０八號,168373.000000,2622071.000000
臺西派出所,05-6982224,雲林縣台西鄉台西村一五鄰中山路一０八號,168370.000000,2622081.000000
崙豐派出所,05-6901560,雲林縣台西鄉富琦村三鄰崙豐路一九四號,169206.000000,2624188.000000
林厝派出所,05-7721265,雲林縣四湖鄉林東村九鄰中華路二五號,166263.000000,2618672.000000
四湖分駐所,05-7872031,雲林縣四湖鄉施湖村九路中山西路二０五號,170405.000000,2615075.000000
飛沙派出所,05-7723235,雲林縣四湖鄉飛沙村一二鄰大同路七０號,165951.000000,2615757.000000
三崙派出所,05-7721270,雲林縣四湖鄉崙北村一０鄰中山路五四號,164984.000000,2616118.000000
吳厝派出所,05-5862484,雲林縣西螺鎮吳厝里三鄰吳庴五一號,191234.000000,2626820.000000
和心派出所,05-5862544,雲林縣西螺鎮河南里埔心路一四六號,193556.000000,2632878.000000
埤源派出所,05-5862384,雲林縣西螺鎮埤頭里一０鄰埤頭路七五號,196738.000000,2630080.000000
西螺派出所,05-5862014,雲林縣西螺鎮福興里公正路二一三號,195278.000000,2632344.000000
西螺分局,05-5862301,雲林縣西螺鎮福興里公正路二一三號,195278.000000,2632344.000000
安南派出所,05-6691514,雲林縣東勢鄉安南村一二鄰安南路一０六號,173495.000000,2622468.000000
東勢分駐所,05-6691032,雲林縣東勢鄉東南村三鄰東勢東路八三號,173870.000000,2619263.000000
林內分駐所,05-5892404,雲林縣林內鄉林南村二鄰中山路一號,210908.000000,2628307.000000
重興派出所,05-5892514,雲林縣林內鄉重興村十六鄰重興七０號,206928.000000,2629396.000000
東屯派出所,05-6651474,雲林縣虎尾鎮東屯里九鄰大屯路一四三號,188289.000000,2622166.000000
埒內派出所,05-6221995,雲林縣虎尾鎮埒內里五鄰埒內四五號,193495.000000,2624371.000000
惠來派出所,05-6222065,雲林縣虎尾鎮惠來里惠來一００號,197826.000000,2625025.000000
虎尾派出所,05-6322118,雲林縣虎尾鎮新興里二五鄰光復路一五一號,194316.000000,2622514.000000
虎尾分局,05-6331771,雲林縣虎尾鎮新興里光復路一五一號,193534.000000,2622958.000000
崙背分駐所,05-6962016,雲林縣崙背鄉東明村三鄰民權路一一四號,184276.000000,2628848.000000
豐榮派出所,05-6552159,雲林縣崙背鄉豐榮村一鄰豐榮路二號,180577.000000,2631708.000000
麥寮分駐所,05-6932030,雲林縣麥寮鄉麥津村九鄰中山路二０八號,174136.000000,2627395.000000
橋頭派出所,05-6911007,雲林縣麥寮鄉橋頭村一三鄰仁德路二三四號,176532.000000,2632591.000000
莿桐分駐所,05-5842025,雲林縣莿桐鄉莿桐村一鄰中山路一七０號,199035.000000,2628175.000000
饒平派出所,05-5842034,雲林縣莿桐鄉饒平村饒平路一七九號,201180.000000,2630469.000000
褒忠分駐所,05-6972040,雲林縣褒忠鄉中勝村三鄰中正路二七四號,179723.000000,2621373.000000
龍岩派出所,05-6972544,雲林縣褒忠鄉田洋村四鄰中新路一號,179654.000000,2624166.000000
八里分駐所,02-26101315,新北市八里區訊塘里訊塘路37號,290078.000000,2782005.000000
龍源派出所,02-26182245,新北市八里區龍源里龍米路一段225號,295511.000000,2780513.000000
後厝派出所,02-26362052,新北市三芝區北勢子45之32號,297273.000000,2793658.000000
三芝分駐所,02-26362049,新北市三芝區埔頭里育英街27號,300477.000000,2794395.000000
埔濱派出所,02-26371851,新北市三芝區興華里田心子1號,300600.000000,2788544.000000
興華派出所,02-26371851,新北市三芝區興華里田心子1號,300600.000000,2788544.000000
大有派出所,02-89851911,新北市三重區大有里中正北路402-號之1,297978.000000,2773656.000000
二重派出所,02-29956794,新北市三重區五谷里重新路五段406號,298021.000000,2771126.000000
永福派出所,02-22802-067,新北市三重區永福里力行路二段162巷53號,298566.000000,2774340.000000
大同派出所,02-29736110,新北市三重區同安里大同南路155號,300103.000000,2772134.000000
中興橋派出所,02-29789513,新北市三重區成功里成功路21號,299457.000000,2771459.000000
長泰派出所,02-29735094,新北市三重區長安里三和路二段152號,300375.000000,2773440.000000
厚德派出所,02-29712064,新北市三重區厚德里三和路三段186號,299643.000000,2774001.000000
三重派出所,02-29757966,新北市三重區重新路一段43號,300678.000000,2772957.000000
三重分局,02-89818900,新北市三重區重新路三段147號,299450.000000,2772408.000000
重陽派出所,02-82879727,新北市三重區集賢路163號,299212.000000,2775748.000000
光明派出所,02-29860655,新北市三重區過田里過圳街46號,299164.000000,2772605.000000
慈福派出所,02-29815111,新北市三重區碧華里仁愛街519號,299144.000000,2774976.000000
三峽派出所,02-26711254,新北市三峽區三峽里民權街38號,287333.000000,2758488.000000
吉埔派出所,02-26711278,新北市三峽區大埔里大埔路60號,286985.000000,2755656.000000
五寮派出所,02-267202-83,新北市三峽區五寮里五寮路154號,286312.000000,2750112.000000
成福派出所,02-26726097,新北市三峽區成福里成福路84號,292480.000000,2758067.000000
圳頭派出所,02-26720167,新北市三峽區金圳里圳頭路92號,288295.000000,2752359.000000
插角派出所,02-26720121,新北市三峽區插角里插角路67之1號,291074.000000,2751540.000000
橫溪派出所,02-86761762,新北市三峽區溪北里介壽路三段49號,289939.000000,2758902.000000
三峽分局,02-26738531,新北市三峽區礁溪里中正路一段48號,287897.000000,2758137.000000
土城派出所,02-22656058,新北市土城區土城里和平路22號,294718.000000,2762891.000000
土城分局,02-22665929,新北市土城區土城里和平路22號,294718.000000,2762891.000000
金城派出所,02-22633152,新北市土城區延吉街318號,296794.000000,2764095.000000
清水派出所,02-22615479,新北市土城區青雲里青雲路220號,296327.000000,2763784.000000
頂埔派出所,02-22681220,新北市土城區頂埔里中央路三段164號,294124.000000,2761464.000000
廣福派出所,02-22701588,新北市土城區廣福里學府路一段103號,296031.000000,2764492.000000
錦和派出所,02-22482551,新北市中和區力行里中正路275號,300025.000000,2765167.000000
景安派出所,02-22436955,新北市中和區中興街200號,300444.000000,2764827.000000
中原派出所,02-2221302-9,新北市中和區立德街60號,299286.000000,2766710.000000
安平派出所,02-29264139,新北市中和區安樂里安平路192之3號,301813.000000,2765791.000000
秀山派出所,02-29402114,新北市中和區成功路139號,303097.000000,2764825.000000
國光派出所,02-29553199,新北市中和區自強里莒光路160號,297703.000000,2765822.000000
中和分局第二分局,02-22211920,新北市中和區里民安街150號,298215.000000,2766031.000000
積穗派出所,02-22268955,新北市中和區員山路471號,298480.000000,2766383.000000
中和分局第一分局,02-22498950,新北市中和區新南里圓通路30號,300573.000000,2765641.000000
南勢派出所,02-29419445,新北市中和區壽南里南山路322號,301277.000000,2764380.000000
中和派出所,02-22489083,新北市中和區漳和里中和路102-之1號,300720.000000,2765832.000000
更寮派出所,02-29871848,新北市五股區中興路二段147號,296244.000000,2774487.000000
五股分駐所,02-22916948,新北市五股區五股里中興路四段67號,294062.000000,2775098.000000
德音派出所,02-82923789,新北市五股區水碓二路1號,293425.000000,2773741.000000
成洲派出所,02-22921296,新北市五股區成德里成泰路三段539號,295548.000000,2777093.000000
十分派出所,02-24958128,新北市平溪區十分街283號,328587.000000,2771057.000000
平溪分駐所,02-24951063,新北市平溪區平溪街43號,324517.000000,2768896.000000
東勢格派出所,02-24951379,新北市平溪區東勢里東勢格1號,325671.000000,2766553.000000
永和派出所,02-29214229,新北市永和區永安里安樂路344號,301934.000000,2766566.000000
秀朗派出所,02-29251130,新北市永和區秀和里永利路73號,302603.000000,2766290.000000
新生派出所,02-29217119,新北市永和區忠義里新生路36號,301275.000000,2767623.000000
中正橋派出所,02-29215119,新北市永和區頂溪里永和路二段303號,302058.000000,2767691.000000
員山派出所,02-22237295,新北市永和區嘉穗里員山路235巷1號,298545.000000,2765670.000000
得和派出所,02-29451969,新北市永和區潭墘里安樂路140號,301910.000000,2765909.000000
永和分局,02-29213119,新北市永和區豫溪里竹林路198號,302524.000000,2766937.000000
石門分駐所,02-26381244,新北市石門區尖鹿里中山路64號,307140.000000,2798109.000000
